,S#,Politician,Day,Date,Day Type,Time,City,Location,Location Category,Province,Latitude,Longititude,Target Category,Space (Open/Closed),Party,Killed,Injured,Month,Year
0,1,Liaqat Ali Khan,16,16-Oct-51,Working Day,Evening,Rawalpindi,"Company Bagh (Company Gardens), Rawalpindi",Park/Ground,Punjab,33.6058,73.0437,Target,Open,Alll India Muslim League,1,1,Oct,51
1,2,Khan abdul Jabbar Khan,9,9-May-58,Working Day,Morning,Lahore," Sadullah Khan's house at 16 Aikman Road, GOR",Residence,Punjab,31.4826352,74.0712721,Target,Open,Chief Minister of West Pakistan,1,0,May,58
2,3,Hayyat Sherpao,8,8-Feb-85,Working Day,Evening,Peshawar,Campus of University of Peshawar,University,KPK,33.999533,71.42502,Target,Open,PPPP,1,0,Feb,85
3,4,Najeeb Ahmed,6,6-Apr-90,Working Day,After Noon,Karachi,North Nazimabad,Residence,Sindh,24.9918,66.9911,Target,Closed,Student wing of PPP,1,0,Apr,90
4,5,Azeem Ahmed Tariq,1,1-May-93,Working Day,Morning,Karachi,near his house,Residence,Sindh,24.9918,66.9911,Target,Closed,MQM,1,0,May,93
5,6,Hakim Muhammad Said,17,17-Oct-98,Working Day,After Noon,Karachi,Details Missing,Details Missing,Sindh,24.9918,66.9911,Target,Open,Independent,1,0,Oct,98
6,7,Maulana Azam Tariq,6,6-Oct-03,Working Day,Evening,Islamabad,"As his car drove into the capital, Islamabad",Road,Capital,33.718,73.0718,Target,Open,Millat-i-Islamia,4,0,Oct,03
7,8,Pervez Musharaf,15,15-Dec-03,Working Day,Evening,Rawalpindi,A powerful bomb went off minutes after his highly-guarded convoy crossed a bridge,Road,Punjab,33.6058,73.0437,Target,Open,All Pakistan Muslim League,0,0,Dec,03
8,9,Pervez Musharaf,25,25-Dec-03,Working Day,Evening,Rawalpindi,Attack on Musharaf's Rally,Road,Punjab,33.6058,73.0437,Suicide,Open,All Pakistan Muslim League,16,4,Dec,03
9,10,Shaukat Aziz,30,30-Jul-04,Working Day,Night,Attock,Jaffar village in fateh jang,Park/Ground,Punjab,33.7645,72.3667,Suicide,Open,PMLQ,7,70,Jul,04
